type,kernel,train_size,accuracy
normal,rbf,50,0.615555555556
normal,sigmoid,50,0.622222222222
water,rbf,50,0.871111111111
water,sigmoid,50,0.871111111111
grass,rbf,50,0.924444444444
grass,sigmoid,50,0.924444444444
normal,rbf,100,0.61
normal,sigmoid,100,0.635555555556
water,rbf,100,0.825555555556
water,sigmoid,100,0.84
grass,rbf,100,0.927777777778
grass,sigmoid,100,0.93
normal,rbf,200,0.603333333333
normal,sigmoid,200,0.600555555556
water,rbf,200,0.831666666667
water,sigmoid,200,0.847222222222
grass,rbf,200,0.916111111111
grass,sigmoid,200,0.932777777778
normal,rbf,500,0.600444444444
normal,sigmoid,500,0.604222222222
water,rbf,500,0.826666666667
water,sigmoid,500,0.838666666667
grass,rbf,500,0.930888888889
grass,sigmoid,500,0.933555555556
normal,rbf,1000,0.589555555556
normal,sigmoid,1000,0.587555555556
water,rbf,1000,0.848111111111
water,sigmoid,1000,0.847666666667
grass,rbf,1000,0.934111111111
grass,sigmoid,1000,0.934111111111
normal,rbf,2000,0.611277777778
normal,sigmoid,2000,0.610833333333
water,rbf,2000,0.832777777778
water,sigmoid,2000,0.837166666667
grass,rbf,2000,0.932777777778
grass,sigmoid,2000,0.934944444444
normal,rbf,5000,0.6026
normal,sigmoid,5000,0.602688888889
water,rbf,5000,0.838266666667
water,sigmoid,5000,0.838111111111
grass,rbf,5000,0.9314
grass,sigmoid,5000,0.931422222222
normal,rbf,10000,0.612277777778
normal,sigmoid,10000,0.612244444444
water,rbf,10000,0.829811111111
water,sigmoid,10000,0.829622222222
grass,rbf,10000,0.9343
grass,sigmoid,10000,0.9343
